timestamp,current,voltage
215763,-3.75,4178.75
215766,-2.50,4178.75
215768,-3.75,4178.75
215770,-2.50,4180.00
215772,-3.75,4178.75
215775,-2.50,4180.00
215777,-2.50,4178.75
215779,-5.00,4178.75
215781,-3.75,4178.75
215783,-2.50,4178.75
215786,-3.75,4178.75
215788,-2.50,4180.00
215790,-2.50,4178.75
215792,-3.75,4180.00
215794,-3.75,4178.75
215797,-2.50,4178.75
215799,-2.50,4178.75
215801,-2.50,4178.75
215803,-2.50,4178.75
215805,-3.75,4178.75
215809,-3.75,4180.00
215811,-3.75,4178.75
215813,-3.75,4178.75
215815,-3.75,4178.75
215817,-2.50,4178.75
215820,-3.75,4180.00
215822,-3.75,4180.00
215824,-3.75,4178.75
215826,-3.75,4178.75
215828,-2.50,4180.00
215831,-3.75,4177.50
215833,-3.75,4178.75
215835,-3.75,4180.00
215837,-3.75,4178.75
215839,-2.50,4178.75
215842,-2.50,4178.75
215844,-2.50,4178.75
215846,-2.50,4178.75
215848,-2.50,4178.75
215851,-2.50,4181.25
215853,-2.50,4180.00
215856,-2.50,4180.00
215858,-3.75,4178.75
215860,-2.50,4178.75
215862,-3.75,4178.75
215864,-2.50,4177.50
215867,-2.50,4180.00
215869,-3.75,4178.75
215871,-2.50,4178.75
215873,-2.50,4180.00
215875,-3.75,4180.00
215878,-3.75,4178.75
215880,-2.50,4181.25
215882,-5.00,4178.75
215884,-2.50,4180.00
215886,-2.50,4178.75
215889,-3.75,4178.75
215891,-3.75,4178.75
215894,-2.50,4178.75
215896,-3.75,4180.00
215898,-2.50,4180.00
215901,-3.75,4178.75
215903,-3.75,4178.75
215905,-2.50,4178.75
215907,-3.75,4178.75
215909,-3.75,4180.00
215912,-2.50,4180.00
215914,-3.75,4180.00
215916,-2.50,4178.75
215918,-3.75,4178.75
215920,-2.50,4178.75
215923,-2.50,4178.75
215925,-3.75,4178.75
215927,-5.00,4178.75
215929,-5.00,4178.75
215931,-3.75,4178.75
215933,-1.25,4177.50
215937,-2.50,4178.75
215939,-2.50,4178.75
215941,-3.75,4180.00
215943,-2.50,4180.00
215945,-3.75,4178.75
215948,-2.50,4178.75
215950,-3.75,4178.75
215952,-3.75,4178.75
215954,-5.00,4178.75
215956,-3.75,4178.75
215959,-3.75,4180.00
215961,-3.75,4180.00
215963,-3.75,4178.75
215965,-3.75,4178.75
215967,-5.00,4180.00
215970,-3.75,4178.75
